location_project,demo_category,season,total_season_days,total_duration,density_km2
1-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,152,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,35,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,152,296.5310033521931,1.5259859053368416
1-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,35,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,152,42.53100335219312,0.2188699020392016
1-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,35,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Female,summer,152,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Female,winter,35,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Male,summer,152,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Male,winter,35,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,152,0,0
1-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,152,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,152,42.53100335219312,0.2188699020392016
1-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,152,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Female,summer,152,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Female,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Male,summer,152,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Male,winter,35,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,152,0,0
1-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,35,0,0
1-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,152,0,0
1-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,35,0,0
1-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,152,0,0
1-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,35,0,0
